910e1ca5-02e4-4c46-8504-ec4d53e0bdd7,Other (see description)
12cdb51f-65d8-436f-b7aa-3e39e55b828c,Head on
344efe41-0d21-477c-828a-df352835114d,Head on
aadea877-14b1-49ba-837f-3207fac7fde6,Rear end
5f035e41-b83e-47e2-a74c-af9da9242b22,Hit pedestrian
bbeed927-eccc-4c99-ad3c-318533836d89,Head on
9c980fd0-75c2-4429-a1b5-0aeba2c73f97,Hit pedestrian
b6f6d7fb-70fb-42bf-ba47-82c4917bb94a,Head on
cc62bdb0-7c87-446e-bb27-b9df60a202b7,Hit pedestrian
be4cce2e-966d-44dc-8ab4-e0c8a9abf979,Other (see description)
a2c6b754-7c24-4d0b-8a52-322fddd65088,Hit pedestrian
8cd9b050-4eff-4088-b020-7cff02b81ddb,Hit parked vehicle
5d10860e-cd0e-4896-9607-d793c4b12366,Side swipe
761e02f5-6b83-4ce7-a859-35108d325fa6,Head on
14094787-bbd3-4bb7-890b-7af04c8598e2,Head on
ebe1d67c-57e1-409a-8ac3-7d77311c07b5,Head on
6ac4a410-9dc7-48f5-abb8-ef66323387e7,Hit object in road
5da17032-60a9-4fb1-8f93-4baf8ca18cd5,Head on
8ad30d2a-413d-4e1b-948d-01783758ff2c,Head on
2a01a445-2061-4b28-b1d5-c58d75b38650,Head on
ab3b89fc-b446-46b8-a499-5a024b97f377,Other (see description)
30770a1f-1ffd-4f13-8f23-fcb9cf99c3c2,Hit pedestrian
899dbcba-a34d-4543-ae96-c2ee4e9c77cd,Rear end
45541c4d-39d9-4242-b249-d7a16b420b54,Hit pedestrian
ff82f662-7326-4d1d-8467-16d124168e77,Head on
a121f38c-0792-4e9c-afab-e94e9e7718a0,Hit pedestrian
bc1a979b-f959-45c6-bf6c-f314cd6ec72b,Head on
5e904198-a09c-4ea0-a53a-41895d911e1e,Head on
9eee455d-db49-486c-a14d-32ec6628e8dd,Hit pedestrian
152cf2e4-8157-452f-8445-8fa1a0fd5734,Hit pedestrian
03fcb692-3efa-442c-9518-16a01c25c552,Head on
73554d5e-9a63-48b4-b0cd-f63608646037,Hit pedestrian
c9ada1f1-072f-47b6-ae3c-98ab30e73854,Head on
1c255b2f-9439-46da-bb37-783094e5ce33,Side swipe
9d31d09b-8094-4c00-b6c0-1066caece304,Head on
dc729596-ce3e-4540-a149-f3ce968bec81,Right angle
67e74828-a079-4917-b81b-d56579a5ff4a,Head on
81c42c0d-7947-48af-b104-b935f3992ea5,
99deec28-7234-49f2-aa9b-8662b31c4d89,Head on
204b9170-57a1-4a91-8e3f-dbbd7ec138e0,Other (see description)
30fdb60e-2b09-4b0a-9510-2de7e65dd82c,Head on
64e42e33-b571-47f0-88a1-96b88775592d,Hit pedestrian
4bff0668-6103-4608-8f3a-fd5bbbfad193,Side swipe
d791e6f2-da51-488b-b764-2c22536da804,Head on
85e7365a-8642-40e3-ac3f-1ae56f6397b3,Hit pedestrian
98b6bde9-d447-4daa-9dd2-f3aaa0ab1309,Hit pedestrian
9d6dc8ee-25d3-4992-b346-a7debfc67d65,
f31363ed-139d-44ab-a7ed-a0760b45aa0e,Head on
504bb9f8-1417-4e4e-bfac-7987c8dd6bb0,Head on
78e3af22-be4d-4191-bdd2-42a87366f8e9,Head on
be065dbb-2d68-402d-925f-73834a52accc,Head on
84e49b60-bab5-480a-817b-e50dbe87b6e5,Head on
dbd87f11-dad8-4897-bdd1-6c92d484cd60,Hit pedestrian
4951276e-a5dd-4cc1-96a0-d190fb8d1c2b,
6f8d791b-cfed-44c6-9e1b-9141f9725e9a,Head on
10a55461-d03c-41d1-8e7a-0d755b2bfa63,Head on
0e5ee714-058d-4b8c-b86c-bdf05d2b7efb,Side swipe
61abe3c8-ba13-454a-896b-4331a493ea40,
a389c0b5-142b-4ebf-b687-212a7438ffcb,Head on
83a16c55-497e-49b0-a4cc-af23a5255ce0,Hit pedestrian
5f5f400d-9362-432b-b658-e5c64d0a3edf,
fb466683-c015-42df-986e-0a26a65dbb36,Hit pedestrian
603b0afe-0e08-4d6b-bfaa-ee30c57cb7e2,
0d2bb783-7759-43fd-9f1b-e981dffddc3a,Head on
77adc950-ac0a-4bec-813b-af45b13a28a3,Head on
d2b91f23-6399-4dd9-9237-67f5fed2de32,Head on
754f6ca0-8b4a-43aa-bf9b-6d78ec3ae68d,Head on
41b6e46a-be47-41b7-8b38-e92c6c92d7e5,Head on
7c10b2c0-9a5b-45c7-b736-378c0113aba3,Head on
0d3de872-68ab-474b-9208-47104b9f865a,Side swipe
4268aa5c-5640-4866-aae6-d3c4812a485d,
e9d13bdc-e610-4fed-980f-fae7f68cd883,
feab17bc-f746-40e1-b019-1dbee949e5e3,Other (see description)
5396e64b-7550-4cd1-b997-3d7a67f0703d,Side swipe
9a4059b1-1f57-4210-866e-bfc416c98652,Side swipe
eb6aeb3e-2ab5-4506-8607-6473c2910029,Head on
ae74404e-b7e8-4afd-9dca-87839012f3c8,Rear end
b66261a3-f213-4a60-ad55-384ed7e92916,Overturned vehicle
1e93ec7e-7739-4c1d-9033-ffe9c541e38d,Side swipe
86986ce6-b08e-4d32-ba32-d66809e06a56,Side swipe
39c3280c-ab30-4ca5-822c-e7ee2004b116,Rear end
7031cddb-c2ff-4e61-83d9-652dc4517730,Head on
