('Motorcycle', 'SUV'),Overturned vehicle,0
('Motorcycle', 'SUV'),Rear end,0
('Motorcycle', 'SUV'),Right angle,0
('Motorcycle', 'SUV'),Side swipe,2
('Motorcycle', 'SUV'),,0
('', 'Motorcycle'),Angle (Other),0
('', 'Motorcycle'),Head on,4
('', 'Motorcycle'),Hit object in road,0
('', 'Motorcycle'),Hit parked vehicle,0
('', 'Motorcycle'),Hit pedestrian,0
('', 'Motorcycle'),Other (see description),1
('', 'Motorcycle'),Overturned vehicle,0
('', 'Motorcycle'),Rear end,0
('', 'Motorcycle'),Right angle,0
('', 'Motorcycle'),Side swipe,2
('', 'Motorcycle'),,0
('Bus', 'Motorcycle'),Angle (Other),0
('Bus', 'Motorcycle'),Head on,0
('Bus', 'Motorcycle'),Hit object in road,0
('Bus', 'Motorcycle'),Hit parked vehicle,0
('Bus', 'Motorcycle'),Hit pedestrian,0
('Bus', 'Motorcycle'),Other (see description),0
('Bus', 'Motorcycle'),Overturned vehicle,1
('Bus', 'Motorcycle'),Rear end,0
('Bus', 'Motorcycle'),Right angle,2
('Bus', 'Motorcycle'),Side swipe,3
('Bus', 'Motorcycle'),,0
('Motorcycle', 'Pedestrian'),Angle (Other),0
('Motorcycle', 'Pedestrian'),Head on,0
('Motorcycle', 'Pedestrian'),Hit object in road,0
('Motorcycle', 'Pedestrian'),Hit parked vehicle,0
('Motorcycle', 'Pedestrian'),Hit pedestrian,4
('Motorcycle', 'Pedestrian'),Other (see description),0
('Motorcycle', 'Pedestrian'),Overturned vehicle,0
('Motorcycle', 'Pedestrian'),Rear end,0
('Motorcycle', 'Pedestrian'),Right angle,0
('Motorcycle', 'Pedestrian'),Side swipe,0
('Motorcycle', 'Pedestrian'),,0
('Tricycle', 'Van'),Angle (Other),0
('Tricycle', 'Van'),Head on,1
('Tricycle', 'Van'),Hit object in road,0
('Tricycle', 'Van'),Hit parked vehicle,0
('Tricycle', 'Van'),Hit pedestrian,0
('Tricycle', 'Van'),Other (see description),0
('Tricycle', 'Van'),Overturned vehicle,0
('Tricycle', 'Van'),Rear end,0
('Tricycle', 'Van'),Right angle,0
('Tricycle', 'Van'),Side swipe,2
('Tricycle', 'Van'),,0
('Car', 'Truck (Pick-Up)'),Angle (Other),0
('Car', 'Truck (Pick-Up)'),Head on,0
('Car', 'Truck (Pick-Up)'),Hit object in road,0
('Car', 'Truck (Pick-Up)'),Hit parked vehicle,0
('Car', 'Truck (Pick-Up)'),Hit pedestrian,0
('Car', 'Truck (Pick-Up)'),Other (see description),0
('Car', 'Truck (Pick-Up)'),Overturned vehicle,0
('Car', 'Truck (Pick-Up)'),Rear end,2
('Car', 'Truck (Pick-Up)'),Right angle,0
('Car', 'Truck (Pick-Up)'),Side swipe,1
('Car', 'Truck (Pick-Up)'),,0
('SUV', 'Van'),Angle (Other),0
('SUV', 'Van'),Head on,0
('SUV', 'Van'),Hit object in road,0
('SUV', 'Van'),Hit parked vehicle,0
('SUV', 'Van'),Hit pedestrian,1
('SUV', 'Van'),Other (see description),0
('SUV', 'Van'),Overturned vehicle,0
('SUV', 'Van'),Rear end,2
('SUV', 'Van'),Right angle,0
('SUV', 'Van'),Side swipe,0
('SUV', 'Van'),,0
('', 'Car'),Angle (Other),0
('', 'Car'),Head on,0
('', 'Car'),Hit object in road,0
('', 'Car'),Hit parked vehicle,0
('', 'Car'),Hit pedestrian,2
('', 'Car'),Other (see description),0
('', 'Car'),Overturned vehicle,0
('', 'Car'),Rear end,0
('', 'Car'),Right angle,0
('', 'Car'),Side swipe,1
('', 'Car'),,0
('Tricycle', 'Truck (Articulated)'),Angle (Other),0
('Tricycle', 'Truck (Articulated)'),Head on,2
('Tricycle', 'Truck (Articulated)'),Hit object in road,0
('Tricycle', 'Truck (Articulated)'),Hit parked vehicle,0
('Tricycle', 'Truck (Articulated)'),Hit pedestrian,0
('Tricycle', 'Truck (Articulated)'),Other (see description),0
('Tricycle', 'Truck (Articulated)'),Overturned vehicle,0
('Tricycle', 'Truck (Articulated)'),Rear end,0
('Tricycle', 'Truck (Articulated)'),Right angle,0
('Tricycle', 'Truck (Articulated)'),Side swipe,0
('Tricycle', 'Truck (Articulated)'),,0
('Motorcycle', 'Others'),Angle (Other),0
('Motorcycle', 'Others'),Head on,2
('Motorcycle', 'Others'),Hit object in road,0
('Motorcycle', 'Others'),Hit parked vehicle,0
('Motorcycle', 'Others'),Hit pedestrian,0
('Motorcycle', 'Others'),Other (see description),0
('Motorcycle', 'Others'),Overturned vehicle,0
('Motorcycle', 'Others'),Rear end,0
('Motorcycle', 'Others'),Right angle,0
('Motorcycle', 'Others'),Side swipe,0
('Motorcycle', 'Others'),,0
('Car', 'Car'),Angle (Other),0
('Car', 'Car'),Head on,0
('Car', 'Car'),Hit object in road,0
('Car', 'Car'),Hit parked vehicle,0
('Car', 'Car'),Hit pedestrian,0
('Car', 'Car'),Other (see description),0
('Car', 'Car'),Overturned vehicle,0
('Car', 'Car'),Rear end,0
('Car', 'Car'),Right angle,0
('Car', 'Car'),Side swipe,2
('Car', 'Car'),,0
('', ''),Angle (Other),0
('', ''),Head on,0
('', ''),Hit object in road,0
('', ''),Hit parked vehicle,0
('', ''),Hit pedestrian,1
('', ''),Other (see description),0
('', ''),Overturned vehicle,0
('', ''),Rear end,0
('', ''),Right angle,0
('', ''),Side swipe,0
('', ''),,1
('Car', 'Tricycle'),Angle (Other),0
('Car', 'Tricycle'),Head on,1
('Car', 'Tricycle'),Hit object in road,0
('Car', 'Tricycle'),Hit parked vehicle,0
('Car', 'Tricycle'),Hit pedestrian,0
('Car', 'Tricycle'),Other (see description),0
('Car', 'Tricycle'),Overturned vehicle,0
('Car', 'Tricycle'),Rear end,0
('Car', 'Tricycle'),Right angle,0
('Car', 'Tricycle'),Side swipe,1
('Car', 'Tricycle'),,0
('Tricycle', 'Truck (Unknown)'),Angle (Other),0
