record_id,Make,Model,Damage,Defect,Loading,Maneuver,driverVehicle_id,Plate number,Vehicle type,Engine number,Chassis number,Classification,Insurance details,same
0dd0af4a-3979-4326-bd0f-c9d1737c7e99,Aluminum Wing Van Truck ,,Front,None,Legal,Going ahead,8f65952a-3387-4f0f-b469-115c36ac2758,CAN 7898,Truck (Articulated),6D24-294406,FU51004017TZ-5,Private,,0dd0af4a-3979-4326-bd0f-c9d1737c7e99
0dfc4826-0f9e-4511-8ba3-afa57bdaeb5a,,,Front,Multiple,Legal,,f6e61089-9f57-40f3-a272-fb343ba7d06d,,Truck (Articulated),,,Private,,0dfc4826-0f9e-4511-8ba3-afa57bdaeb5a
0dfc4826-0f9e-4511-8ba3-afa57bdaeb5a,,,,,,,447666d0-9bf8-45cd-b3f9-6c5d1e195d6f,,Motorcycle,,,,,0dfc4826-0f9e-4511-8ba3-afa57bdaeb5a
0e420604-3931-40ed-9540-03bac3c52855,Mio Sporty 40C9 ,,Front,None,Legal,Going ahead,552aa40d-aa46-4070-8225-79e33c7e2408,,Motorcycle,E31Te-0058537,PA0SEF210J0058588,Private,,0e420604-3931-40ed-9540-03bac3c52855
0e5ee714-058d-4b8c-b86c-bdf05d2b7efb,Chevrolet,Spin,,,,Right turn,e7c178f6-6732-4335-8624-f89aa04e3d76,ABC 2897,SUV,,,Private,,0e5ee714-058d-4b8c-b86c-bdf05d2b7efb
0e5ee714-058d-4b8c-b86c-bdf05d2b7efb,Rusi ,Neptune,,,,,bbdd24d7-cc91-4dfd-aac4-80e9357d609a,,Motorcycle,,,Private,,0e5ee714-058d-4b8c-b86c-bdf05d2b7efb
0fc01748-8815-4ff0-9ef0-ea5502e560d8,Izusu,2000,Multiple,Multiple,Legal,Going ahead,4f4c811f-d7c1-4f1d-8443-0905cc87fe20,XXX1434,Truck (Articulated),,,Private,,0fc01748-8815-4ff0-9ef0-ea5502e560d8
0fc01748-8815-4ff0-9ef0-ea5502e560d8,Honda ,2017,Multiple,None,Legal,Overtaking,449c4737-923b-4f0d-aa87-56db4dd9612c,ER-6623,Motorcycle,,,Private,,0fc01748-8815-4ff0-9ef0-ea5502e560d8
100d8cba-ccfd-4558-b3e4-346cbc7fca5c,,,Right,None,,Going ahead,05ef201c-8f67-4eb7-9f42-1d8a4ab0109a,1001-328172,Motorcycle,,,Private,,100d8cba-ccfd-4558-b3e4-346cbc7fca5c
103b47c8-066b-47df-8f68-6d4c4edc3b0e,white isuzu Dmax,,,None,,Diverging,b330d3d4-cd3d-466a-ba5b-31de270d655a,ADO 7465,Truck (Pick-Up),4JJ1PK1987,,Private,,103b47c8-066b-47df-8f68-6d4c4edc3b0e
